2026-02-25 14:38:19 | WARNING  | Failed to fetch A-share price 601988.SH (normalized=601988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:24 | WARNING  | Failed to fetch H-share price 3988.HK (normalized=3988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:24 | WARNING  | 无法获取 601988.SH/3988.HK 的数据
2026-02-25 14:38:30 | WARNING  | Failed to fetch A-share price 600030.SH (normalized=600030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:35 | WARNING  | Failed to fetch H-share price 6030.HK (normalized=6030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:35 | WARNING  | 无法获取 600030.SH/6030.HK 的数据
2026-02-25 14:38:40 | WARNING  | Failed to fetch A-share price 601318.SH (normalized=601318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:46 | WARNING  | Failed to fetch H-share price 2318.HK (normalized=2318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:46 | WARNING  | 无法获取 601318.SH/2318.HK 的数据
2026-02-25 14:38:51 | WARNING  | Failed to fetch A-share price 601628.SH (normalized=601628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:56 | WARNING  | Failed to fetch H-share price 2628.HK (normalized=2628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:56 | WARNING  | 无法获取 601628.SH/2628.HK 的数据
2026-02-25 14:39:01 | WARNING  | Failed to fetch A-share price 600028.SH (normalized=600028): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:06 | WARNING  | Failed to fetch H-share price 0386.HK (normalized=0386): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:06 | WARNING  | 无法获取 600028.SH/0386.HK 的数据
2026-02-25 14:39:11 | WARNING  | Failed to fetch A-share price 601857.SH (normalized=601857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:16 | WARNING  | Failed to fetch H-share price 0857.HK (normalized=0857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:16 | WARNING  | 无法获取 601857.SH/0857.HK 的数据
2026-02-25 14:39:22 | WARNING  | Failed to fetch A-share price 002594.SZ (normalized=002594): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:27 | WARNING  | Failed to fetch H-share price 1211.HK (normalized=1211): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:27 | WARNING  | 无法获取 002594.SZ/1211.HK 的数据
2026-02-25 14:39:32 | WARNING  | Failed to fetch A-share price 601088.SH (normalized=601088): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:38 | WARNING  | Failed to fetch H-share price 1088.HK (normalized=1088): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:38 | WARNING  | 无法获取 601088.SH/1088.HK 的数据
2026-02-25 14:39:44 | WARNING  | Failed to fetch A-share price 601398.SH (normalized=601398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:50 | WARNING  | Failed to fetch A-share price 601939.SH (normalized=601939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:39:55 | WARNING  | Failed to fetch A-share price 601288.SH (normalized=601288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:40:01 | WARNING  | Failed to fetch A-share price 601988.SH (normalized=601988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:40:06 | WARNING  | Failed to fetch A-share price 600030.SH (normalized=600030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:40:12 | WARNING  | Failed to fetch A-share price 601318.SH (normalized=601318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:40:17 | WARNING  | Failed to fetch A-share price 601628.SH (normalized=601628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:40:22 | WARNING  | Failed to fetch A-share price 600028.SH (normalized=600028): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:40:28 | WARNING  | Failed to fetch A-share price 601857.SH (normalized=601857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
